INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
94569	0.994	temporal	4
47482	0.998	atemporal	4
19441	0.996	atemporal	4
77308	0.995	temporal	4
82653	0.992	atemporal	4
38396	0.993	temporal	4
107782	0.991	atemporal	4
30417	0.992	atemporal	4
64661	0.991	atemporal	4
4493	0.99	atemporal	4
44724	0.99	atemporal	4
61017	0.994	temporal	4
68228	0.993	temporal	4
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
139091	0.991	temporal	5
16639	0.99	temporal	5
25340	0.99	temporal	5
50908	0.987	atemporal	5
50294	0.99	temporal	5
21479	0.987	atemporal	5
52842	0.988	atemporal	5
52012	0.988	atemporal	5
28908	0.989	atemporal	5
69346	0.992	temporal	5
60960	0.989	atemporal	5
42218	0.988	atemporal	5
126514	0.989	atemporal	5
15436	0.996	atemporal	5
62412	0.99	atemporal	5
26519	0.989	atemporal	5
64049	0.991	temporal	5
16559	0.991	atemporal	5
135532	0.99	temporal	5
25749	0.987	atemporal	5
6312	0.988	atemporal	5
60968	0.986	atemporal	5
24847	0.991	temporal	5
69567	0.986	atemporal	5
135364	0.991	temporal	5
26757	0.994	atemporal	5
139139	0.99	atemporal	5
96709	0.988	atemporal	5
131433	0.988	atemporal	5
8341	0.989	atemporal	5
140543	0.988	atemporal	5
64076	0.991	temporal	5
75352	0.991	temporal	5
33012	0.988	atemporal	5
13841	0.993	atemporal	5
4140	0.993	atemporal	5
73532	0.99	atemporal	5
118545	0.991	atemporal	5
82606	0.991	temporal	5
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
85879	0.975	atemporal	6
111331	0.973	atemporal	6
60255	0.98	atemporal	6
143136	0.984	temporal	6
20381	0.984	atemporal	6
53491	0.979	atemporal	6
91844	0.971	atemporal	6
43141	0.981	atemporal	6
68589	0.97	atemporal	6
32423	0.977	atemporal	6
126275	0.973	atemporal	6
113324	0.975	atemporal	6
139555	0.984	temporal	6
72581	0.981	atemporal	6
136028	0.981	atemporal	6
9455	0.984	temporal	6
33121	0.984	temporal	6
41295	0.973	atemporal	6
54777	0.995	atemporal	6
97379	0.984	temporal	6
72518	0.97	atemporal	6
67537	0.977	atemporal	6
40124	0.985	temporal	6
46155	0.971	atemporal	6
21659	0.984	temporal	6
75235	0.971	atemporal	6
55441	0.984	temporal	6
108893	0.97	atemporal	6
25374	0.993	atemporal	6
111937	0.984	temporal	6
105029	0.984	temporal	6
31632	0.984	atemporal	6
38298	0.984	temporal	6
71409	0.972	atemporal	6
54725	0.972	atemporal	6
75239	0.977	atemporal	6
117729	0.984	temporal	6
97060	0.975	atemporal	6
135074	0.973	atemporal	6
48093	0.997	atemporal	6
105584	0.972	atemporal	6
26137	0.973	atemporal	6
19162	0.984	temporal	6
25722	0.971	atemporal	6
57808	0.972	atemporal	6
120400	0.986	temporal	6
540	0.977	atemporal	6
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
87318	0.993	atemporal	7
113222	0.986	atemporal	7
114384	1.0	temporal	7
66525	1.0	temporal	7
123305	1.0	temporal	7
138310	1.0	temporal	7
88250	0.984	atemporal	7
38474	0.992	atemporal	7
103266	0.986	atemporal	7
124121	1.0	temporal	7
59419	1.0	temporal	7
33946	0.993	atemporal	7
92155	0.984	atemporal	7
14480	0.99	atemporal	7
15532	1.0	temporal	7
110274	1.0	temporal	7
38	1.0	temporal	7
24748	0.984	atemporal	7
73121	0.984	atemporal	7
12329	0.992	atemporal	7
95631	0.986	atemporal	7
62781	1.0	temporal	7
58612	0.984	atemporal	7
43653	0.986	atemporal	7
137095	0.988	atemporal	7
120592	0.988	atemporal	7
95361	0.986	atemporal	7
17434	0.986	atemporal	7
23724	0.988	atemporal	7
386	0.996	atemporal	7
17942	1.0	temporal	7
142523	0.988	atemporal	7
37536	0.989	atemporal	7
107678	0.985	atemporal	7
73484	0.991	atemporal	7
36288	0.987	atemporal	7
116939	0.994	atemporal	7
14208	0.99	atemporal	7
90692	0.992	atemporal	7
118787	1.0	temporal	7
28053	1.0	temporal	7
55188	0.986	atemporal	7
24992	1.0	temporal	7
135740	1.0	temporal	7
142190	0.988	atemporal	7
43379	0.989	atemporal	7
67914	1.0	temporal	7
13482	0.985	atemporal	7
2355	0.993	atemporal	7
100101	0.989	atemporal	7
67224	0.986	atemporal	7
3891	0.989	atemporal	7
34567	0.986	atemporal	7
121330	0.985	atemporal	7
89128	0.991	atemporal	7
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
14416	0.996	temporal	8
76203	0.978	atemporal	8
56521	0.979	atemporal	8
99423	0.992	atemporal	8
108858	0.994	temporal	8
31781	0.985	atemporal	8
98903	0.979	atemporal	8
138640	0.991	temporal	8
85848	0.978	atemporal	8
95578	0.985	atemporal	8
40668	0.994	temporal	8
33767	0.993	temporal	8
23283	0.994	temporal	8
129524	0.978	atemporal	8
51819	0.994	temporal	8
127466	0.988	atemporal	8
43743	0.978	atemporal	8
119910	0.994	temporal	8
12291	0.993	temporal	8
72099	0.978	atemporal	8
36832	0.979	atemporal	8
60630	0.984	atemporal	8
2857	0.979	atemporal	8
56276	0.993	temporal	8
39274	0.986	atemporal	8
81646	0.985	atemporal	8
61877	0.982	atemporal	8
141152	0.982	atemporal	8
3458	0.991	atemporal	8
43121	0.979	atemporal	8
99834	0.986	atemporal	8
64906	0.99	temporal	8
22385	0.986	atemporal	8
1497	0.987	atemporal	8
84697	0.981	atemporal	8
80043	0.99	temporal	8
69816	0.984	atemporal	8
82280	0.981	atemporal	8
20191	0.994	temporal	8
134376	0.982	atemporal	8
96912	0.982	atemporal	8
61252	0.98	atemporal	8
76108	0.983	atemporal	8
129313	0.996	temporal	8
11666	0.979	atemporal	8
21815	0.979	atemporal	8
107410	0.985	atemporal	8
15506	0.985	atemporal	8
142441	0.978	atemporal	8
97221	0.996	temporal	8
140220	0.991	temporal	8
24876	0.978	atemporal	8
91964	0.981	atemporal	8
107097	0.979	atemporal	8
113426	0.989	atemporal	8
92084	0.986	atemporal	8
130708	0.984	atemporal	8
55798	0.982	atemporal	8
38301	0.981	atemporal	8
71319	0.979	atemporal	8
103506	0.979	atemporal	8
6764	0.977	atemporal	8
119494	0.991	temporal	8
10711	0.979	atemporal	8
21734	0.995	temporal	8
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
42964	0.997	temporal	9
58574	0.992	atemporal	9
93316	0.992	atemporal	9
26986	0.995	temporal	9
2283	0.996	temporal	9
78817	0.995	atemporal	9
127202	0.996	temporal	9
79940	0.991	atemporal	9
20794	0.993	atemporal	9
124851	0.996	temporal	9
83324	0.992	atemporal	9
61315	0.994	atemporal	9
59307	0.996	temporal	9
13172	0.992	atemporal	9
30533	0.996	atemporal	9
31420	0.996	temporal	9
27670	0.995	atemporal	9
98286	0.995	atemporal	9
85572	0.99	atemporal	9
77654	0.997	temporal	9
27113	0.992	atemporal	9
34083	0.995	temporal	9
69214	0.991	atemporal	9
122926	0.993	atemporal	9
51134	0.999	atemporal	9
49564	0.99	atemporal	9
78856	0.99	atemporal	9
132673	0.996	temporal	9
103547	0.992	atemporal	9
99836	0.996	atemporal	9
15880	0.997	atemporal	9
141138	0.994	atemporal	9
96077	0.994	atemporal	9
126426	0.994	atemporal	9
51611	0.996	atemporal	9
13019	0.992	atemporal	9
65265	0.991	atemporal	9
41685	0.991	atemporal	9
68266	0.991	atemporal	9
100630	0.999	atemporal	9
142762	0.991	atemporal	9
48025	0.995	atemporal	9
10099	0.996	atemporal	9
49040	0.995	atemporal	9
9549	0.996	temporal	9
37288	0.992	atemporal	9
111821	0.993	atemporal	9
101661	0.996	temporal	9
113912	0.991	atemporal	9
69924	0.996	temporal	9
95675	0.991	atemporal	9
122679	0.992	atemporal	9
9245	0.995	atemporal	9
102316	0.991	atemporal	9
102320	0.995	atemporal	9
141407	0.994	atemporal	9
72323	0.997	temporal	9
125774	0.995	atemporal	9
112047	0.996	temporal	9
45865	0.994	atemporal	9
136262	0.991	atemporal	9
127637	0.992	atemporal	9
114782	0.993	atemporal	9
93475	0.996	temporal	9
108968	0.991	atemporal	9
16058	1.0	temporal	9
79932	0.996	temporal	9
82327	0.993	atemporal	9
36082	0.998	atemporal	9
36308	0.991	atemporal	9
133379	0.991	atemporal	9
38226	0.993	atemporal	9
112985	0.991	atemporal	9
79520	0.996	temporal	9
73868	0.994	atemporal	9
31843	0.992	atemporal	9
112703	0.997	temporal	9
132499	0.996	temporal	9
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
114369	0.996	atemporal	10
42382	1.0	temporal	10
28435	0.994	atemporal	10
43992	0.995	atemporal	10
93223	0.994	atemporal	10
119453	0.996	atemporal	10
8072	0.994	atemporal	10
80153	0.995	atemporal	10
87225	0.993	atemporal	10
138817	0.995	atemporal	10
54300	1.0	temporal	10
62653	0.998	atemporal	10
69944	0.994	atemporal	10
115892	0.994	atemporal	10
105999	1.0	temporal	10
66271	0.997	atemporal	10
59324	1.0	temporal	10
80618	1.0	temporal	10
118323	0.997	temporal	10
55517	0.993	atemporal	10
117479	0.993	atemporal	10
112272	0.995	atemporal	10
102446	1.0	temporal	10
43502	0.997	temporal	10
13806	0.995	atemporal	10
10071	0.994	atemporal	10
24105	0.995	atemporal	10
30934	1.0	temporal	10
53187	0.994	atemporal	10
8210	0.996	atemporal	10
110468	0.994	atemporal	10
130650	0.997	atemporal	10
48484	0.995	atemporal	10
50146	0.997	atemporal	10
9343	1.0	temporal	10
97887	0.997	temporal	10
128479	0.999	atemporal	10
89233	1.0	temporal	10
106833	0.998	atemporal	10
69529	1.0	temporal	10
9006	0.995	atemporal	10
119106	0.994	atemporal	10
17125	0.994	atemporal	10
103678	0.997	temporal	10
10087	0.993	atemporal	10
7303	0.995	atemporal	10
78319	0.994	atemporal	10
19124	0.994	atemporal	10
30911	0.996	atemporal	10
83273	0.993	atemporal	10
23598	0.995	atemporal	10
142171	0.994	atemporal	10
77896	0.995	atemporal	10
35299	0.995	atemporal	10
135523	0.994	atemporal	10
11168	0.995	atemporal	10
65081	1.0	temporal	10
92586	1.0	temporal	10
46843	1.0	temporal	10
942	0.993	atemporal	10
10484	0.993	atemporal	10
62137	0.997	atemporal	10
119071	0.997	atemporal	10
98356	0.997	temporal	10
7475	0.995	atemporal	10
125333	0.995	atemporal	10
78521	0.998	atemporal	10
42504	0.995	atemporal	10
32514	1.0	temporal	10
79373	1.0	temporal	10
60722	0.995	atemporal	10
140055	0.998	atemporal	10
59346	0.996	atemporal	10
85429	0.994	atemporal	10
125702	0.993	atemporal	10
131074	0.995	atemporal	10
5823	0.997	temporal	10
37519	0.997	atemporal	10
69196	0.998	atemporal	10
83698	0.994	atemporal	10
56829	0.996	atemporal	10
115021	0.996	atemporal	10
122019	0.994	atemporal	10
59617	0.995	atemporal	10
24338	0.993	atemporal	10
126874	0.997	temporal	10
76666	0.995	atemporal	10
125870	0.994	atemporal	10
74681	0.997	temporal	10
23366	0.994	atemporal	10
100717	0.993	atemporal	10
67903	1.0	temporal	10
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
50513	0.997	atemporal	11
104026	1.0	temporal	11
128834	0.996	atemporal	11
13838	0.996	atemporal	11
11373	0.998	atemporal	11
134665	0.998	atemporal	11
54283	0.996	atemporal	11
20187	1.0	temporal	11
103090	0.996	atemporal	11
137697	0.998	atemporal	11
40808	0.998	atemporal	11
134819	0.997	atemporal	11
139159	0.997	atemporal	11
5441	0.997	atemporal	11
116268	1.0	temporal	11
115436	0.997	atemporal	11
70593	0.996	atemporal	11
124479	0.997	atemporal	11
53392	0.998	atemporal	11
55145	0.998	atemporal	11
13530	0.996	atemporal	11
126553	1.0	atemporal	11
53265	0.996	atemporal	11
804	1.0	temporal	11
23140	0.998	atemporal	11
142137	0.997	atemporal	11
80803	0.997	atemporal	11
132098	0.998	atemporal	11
138213	1.0	temporal	11
5338	0.997	atemporal	11
10158	0.998	atemporal	11
74293	0.996	atemporal	11
59885	1.0	temporal	11
8914	0.997	atemporal	11
21465	0.996	atemporal	11
130835	0.999	atemporal	11
93761	1.0	temporal	11
57067	0.998	atemporal	11
14683	0.997	atemporal	11
17610	0.998	atemporal	11
61517	0.997	atemporal	11
125294	0.998	atemporal	11
73148	0.997	atemporal	11
51636	0.996	atemporal	11
89652	0.998	atemporal	11
24093	0.996	atemporal	11
65943	1.0	temporal	11
71800	1.0	temporal	11
69757	0.996	atemporal	11
9956	1.0	temporal	11
59982	0.996	atemporal	11
115392	1.0	temporal	11
28588	0.998	atemporal	11
541	0.996	atemporal	11
101257	0.997	atemporal	11
69788	0.996	atemporal	11
50650	0.996	atemporal	11
82721	1.0	temporal	11
94647	0.996	atemporal	11
71516	0.996	atemporal	11
13044	0.996	atemporal	11
81710	0.997	atemporal	11
59397	0.998	atemporal	11
63397	1.0	temporal	11
70125	0.996	atemporal	11
1156	0.997	atemporal	11
31086	1.0	temporal	11
63185	0.996	atemporal	11
131512	0.997	atemporal	11
66883	0.997	atemporal	11
128847	0.996	atemporal	11
125022	0.997	atemporal	11
85058	1.0	temporal	11
107074	0.998	atemporal	11
113406	0.997	atemporal	11
660	0.996	atemporal	11
85865	1.0	temporal	11
131224	0.998	atemporal	11
129503	1.0	temporal	11
32743	0.997	atemporal	11
32479	0.998	atemporal	11
9146	1.0	temporal	11
10921	1.0	temporal	11
142053	1.0	temporal	11
55450	0.998	atemporal	11
17737	1.0	temporal	11
73132	0.998	atemporal	11
87005	0.996	atemporal	11
126752	0.996	atemporal	11
72240	0.996	atemporal	11
9958	0.996	atemporal	11
47373	0.997	atemporal	11
74538	1.0	temporal	11
102067	0.997	atemporal	11
29274	1.0	temporal	11
105651	0.996	atemporal	11
14086	1.0	temporal	11
17686	0.997	atemporal	11
123863	1.0	temporal	11
33855	0.996	atemporal	11
122089	0.997	atemporal	11
78514	0.997	atemporal	11
121258	0.996	atemporal	11
68274	0.997	atemporal	11
52403	0.996	atemporal	11
55972	1.0	temporal	11
131497	0.996	atemporal	11
138853	1.0	temporal	11
18623	0.997	atemporal	11
83460	1.0	temporal	11
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
135035	0.994	atemporal	12
29580	0.995	atemporal	12
113996	0.995	atemporal	12
44819	1.0	temporal	12
65434	0.994	atemporal	12
113664	0.996	atemporal	12
143447	1.0	temporal	12
122486	0.994	atemporal	12
109774	0.994	atemporal	12
17006	1.0	temporal	12
45606	0.995	atemporal	12
3300	0.994	atemporal	12
56927	1.0	temporal	12
23985	0.998	atemporal	12
102086	0.994	atemporal	12
67767	1.0	temporal	12
88966	0.994	atemporal	12
84074	0.995	atemporal	12
121604	0.994	atemporal	12
113316	0.997	atemporal	12
129803	0.997	atemporal	12
51765	0.995	atemporal	12
83795	1.0	temporal	12
11963	0.994	atemporal	12
38014	0.995	atemporal	12
38879	1.0	temporal	12
4155	0.998	atemporal	12
28857	0.995	atemporal	12
107400	0.994	atemporal	12
16464	0.994	atemporal	12
116770	0.994	atemporal	12
27446	0.997	atemporal	12
109312	0.994	atemporal	12
11211	0.996	atemporal	12
63957	1.0	temporal	12
136737	0.995	atemporal	12
64262	1.0	temporal	12
21147	0.994	atemporal	12
126249	0.996	atemporal	12
72211	0.996	atemporal	12
45078	1.0	temporal	12
131597	1.0	temporal	12
99454	0.994	atemporal	12
87460	0.994	atemporal	12
112645	0.996	atemporal	12
63984	0.996	atemporal	12
35708	0.995	atemporal	12
139711	0.997	atemporal	12
33775	0.997	atemporal	12
139335	0.994	atemporal	12
125592	0.995	atemporal	12
32736	0.995	atemporal	12
34107	0.996	atemporal	12
1636	0.994	atemporal	12
42786	0.996	atemporal	12
98881	1.0	temporal	12
61340	0.994	atemporal	12
100626	0.995	atemporal	12
34308	0.995	atemporal	12
118249	0.996	atemporal	12
139458	1.0	temporal	12
11272	0.994	atemporal	12
52668	0.997	atemporal	12
11653	0.995	atemporal	12
117453	1.0	temporal	12
35631	1.0	temporal	12
119262	1.0	temporal	12
82240	0.995	atemporal	12
78754	1.0	temporal	12
54472	1.0	temporal	12
106282	0.996	atemporal	12
128416	0.994	atemporal	12
8840	1.0	temporal	12
115985	0.994	atemporal	12
6050	0.994	atemporal	12
84654	1.0	temporal	12
68230	0.994	atemporal	12
109647	1.0	temporal	12
135143	0.997	atemporal	12
103092	0.994	atemporal	12
7956	0.997	atemporal	12
33866	0.996	atemporal	12
18561	0.995	atemporal	12
73200	1.0	temporal	12
99628	0.998	atemporal	12
123926	0.995	atemporal	12
61396	0.994	atemporal	12
72416	0.997	atemporal	12
77039	0.995	atemporal	12
69836	0.997	atemporal	12
61791	0.995	atemporal	12
75613	0.994	atemporal	12
28923	1.0	temporal	12
95240	0.997	atemporal	12
90097	0.995	atemporal	12
117843	0.995	atemporal	12
44603	0.994	atemporal	12
68682	1.0	temporal	12
104925	0.995	atemporal	12
142203	0.994	atemporal	12
119841	1.0	temporal	12
57576	0.994	atemporal	12
116355	1.0	temporal	12
42017	0.994	atemporal	12
82596	0.994	atemporal	12
140316	0.998	atemporal	12
91625	0.999	atemporal	12
25350	1.0	temporal	12
15780	0.995	atemporal	12
95533	1.0	temporal	12
5154	0.997	atemporal	12
44650	1.0	temporal	12
43984	1.0	temporal	12
17187	0.994	atemporal	12
133358	0.994	atemporal	12
89140	0.997	atemporal	12
125938	0.998	atemporal	12
33527	0.994	atemporal	12
61898	0.995	atemporal	12
76874	1.0	temporal	12
104827	0.998	atemporal	12
143087	0.996	atemporal	12
70731	0.998	atemporal	12
41291	1.0	temporal	12
99224	0.994	atemporal	12
142102	0.996	atemporal	12
105441	0.994	atemporal	12
51982	0.994	atemporal	12
90658	0.994	atemporal	12
112337	0.998	atemporal	12
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
33278	1.0	temporal	13
110045	0.997	atemporal	13
121795	1.0	temporal	13
112599	0.995	atemporal	13
51032	0.996	atemporal	13
14611	0.995	atemporal	13
6398	0.996	atemporal	13
73997	0.997	atemporal	13
91953	0.998	atemporal	13
52352	1.0	temporal	13
80593	0.999	atemporal	13
60796	1.0	temporal	13
25521	0.996	atemporal	13
12227	0.995	atemporal	13
115592	0.995	atemporal	13
97202	0.996	atemporal	13
124870	0.996	atemporal	13
101740	0.995	atemporal	13
7067	0.996	atemporal	13
52192	1.0	temporal	13
27551	0.996	atemporal	13
12755	0.995	atemporal	13
25341	0.996	atemporal	13
139332	0.998	atemporal	13
138651	0.998	atemporal	13
17261	1.0	temporal	13
131635	0.995	atemporal	13
116151	0.998	atemporal	13
120071	0.996	atemporal	13
25015	0.998	atemporal	13
40910	1.0	temporal	13
59488	0.995	atemporal	13
92713	0.997	atemporal	13
86081	1.0	temporal	13
123213	0.997	atemporal	13
82387	0.996	atemporal	13
125516	0.997	atemporal	13
132557	0.995	atemporal	13
91306	1.0	temporal	13
120555	0.999	atemporal	13
90550	0.996	atemporal	13
28912	0.995	atemporal	13
78176	0.995	atemporal	13
115348	1.0	temporal	13
130395	1.0	temporal	13
43313	0.998	atemporal	13
96746	0.996	atemporal	13
33222	1.0	temporal	13
40995	0.996	atemporal	13
121354	0.995	atemporal	13
117872	0.996	atemporal	13
105533	0.995	atemporal	13
131761	0.995	atemporal	13
30025	1.0	temporal	13
26211	1.0	temporal	13
95848	0.996	atemporal	13
4903	0.998	atemporal	13
127856	0.996	atemporal	13
20704	0.999	atemporal	13
107785	0.997	atemporal	13
128621	0.998	atemporal	13
17597	1.0	temporal	13
132496	0.997	atemporal	13
74249	0.997	atemporal	13
23476	0.995	atemporal	13
49814	0.995	atemporal	13
79361	1.0	temporal	13
5856	0.995	atemporal	13
17996	0.998	atemporal	13
74166	0.996	atemporal	13
22838	1.0	temporal	13
81111	0.996	atemporal	13
96634	0.998	atemporal	13
114974	0.996	atemporal	13
127706	0.995	atemporal	13
98548	0.995	atemporal	13
97039	0.998	atemporal	13
49741	0.997	atemporal	13
126122	0.998	atemporal	13
42598	0.995	atemporal	13
63740	0.997	atemporal	13
10093	1.0	temporal	13
16616	0.999	atemporal	13
79697	1.0	temporal	13
89286	0.995	atemporal	13
132347	0.997	atemporal	13
29192	0.998	atemporal	13
64615	0.996	atemporal	13
88820	0.995	atemporal	13
143201	1.0	temporal	13
136359	1.0	temporal	13
49364	0.995	atemporal	13
38964	0.996	atemporal	13
5764	0.996	atemporal	13
17265	0.997	atemporal	13
92679	0.997	atemporal	13
4686	0.995	atemporal	13
94760	0.996	atemporal	13
54659	0.995	atemporal	13
33938	1.0	temporal	13
101891	1.0	temporal	13
78604	0.997	atemporal	13
40672	0.997	atemporal	13
28830	0.997	atemporal	13
34728	0.996	atemporal	13
53501	0.999	atemporal	13
27190	0.996	atemporal	13
128738	0.995	atemporal	13
12	0.995	atemporal	13
104871	0.996	atemporal	13
14865	1.0	temporal	13
89939	0.997	atemporal	13
35395	0.997	atemporal	13
108382	0.997	atemporal	13
132849	1.0	temporal	13
47685	0.998	atemporal	13
67622	1.0	temporal	13
122010	0.997	atemporal	13
61537	0.995	atemporal	13
62593	1.0	temporal	13
129746	0.998	atemporal	13
42364	0.996	atemporal	13
113381	0.997	atemporal	13
106326	0.995	atemporal	13
142057	1.0	temporal	13
71179	0.997	atemporal	13
1679	0.995	atemporal	13
45592	1.0	temporal	13
80781	0.996	atemporal	13
6036	0.995	atemporal	13
82247	0.996	atemporal	13
138517	0.995	atemporal	13
67789	0.996	atemporal	13
19269	1.0	temporal	13
48015	1.0	temporal	13
12403	0.996	atemporal	13
39394	0.995	atemporal	13
123604	0.995	atemporal	13
33623	0.995	atemporal	13
129701	1.0	temporal	13
93646	1.0	temporal	13
133101	0.996	atemporal	13
52116	0.995	atemporal	13
20814	0.999	atemporal	13
107228	1.0	temporal	13
70048	0.995	atemporal	13
2745	0.996	atemporal	13
27075	0.995	atemporal	13
62556	0.998	atemporal	13
8650	1.0	temporal	13
109122	0.996	atemporal	13
82241	0.997	atemporal	13
83091	1.0	temporal	13
27315	1.0	temporal	13
124471	0.995	atemporal	13
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
39780	1.0	temporal	14
62988	0.999	atemporal	14
89760	1.0	temporal	14
32708	0.997	atemporal	14
44408	0.997	atemporal	14
49953	0.997	atemporal	14
84420	1.0	temporal	14
37628	0.996	atemporal	14
116422	1.0	temporal	14
46822	0.996	atemporal	14
66140	0.995	atemporal	14
106889	0.996	atemporal	14
138437	0.996	atemporal	14
69442	0.997	atemporal	14
132227	1.0	temporal	14
78976	0.999	atemporal	14
100663	0.997	atemporal	14
139575	0.997	atemporal	14
89100	0.996	atemporal	14
48631	0.996	atemporal	14
128363	1.0	temporal	14
102184	1.0	temporal	14
113748	0.997	atemporal	14
83058	0.996	atemporal	14
9138	0.997	atemporal	14
132601	1.0	temporal	14
17363	0.996	atemporal	14
41353	1.0	temporal	14
45559	0.997	atemporal	14
23729	0.997	atemporal	14
139867	0.997	atemporal	14
55689	0.997	atemporal	14
62396	0.996	atemporal	14
31674	0.999	atemporal	14
32597	0.997	atemporal	14
97089	1.0	temporal	14
138688	0.998	atemporal	14
26686	1.0	temporal	14
113633	0.997	atemporal	14
7414	0.996	atemporal	14
115294	0.995	atemporal	14
67611	0.996	atemporal	14
42457	1.0	temporal	14
15807	0.996	atemporal	14
85468	1.0	temporal	14
84019	0.997	atemporal	14
105911	0.998	atemporal	14
31126	1.0	temporal	14
68341	1.0	temporal	14
6090	0.996	atemporal	14
5241	0.996	atemporal	14
24216	1.0	temporal	14
114642	0.999	atemporal	14
40718	0.999	atemporal	14
57455	0.996	atemporal	14
94013	0.998	atemporal	14
113785	0.997	atemporal	14
94263	0.997	atemporal	14
56611	0.996	atemporal	14
66438	0.998	atemporal	14
7079	0.997	atemporal	14
98072	0.998	atemporal	14
116790	0.997	atemporal	14
62672	0.995	atemporal	14
53109	0.996	atemporal	14
104356	0.997	atemporal	14
116262	0.996	atemporal	14
135954	0.997	atemporal	14
101312	0.996	atemporal	14
129661	0.997	atemporal	14
43920	0.995	atemporal	14
60090	0.996	atemporal	14
56616	1.0	temporal	14
8857	0.995	atemporal	14
130979	0.997	atemporal	14
132331	0.995	atemporal	14
67837	0.997	atemporal	14
11684	0.996	atemporal	14
118314	0.997	atemporal	14
21113	1.0	temporal	14
10986	1.0	temporal	14
79626	0.996	atemporal	14
94007	0.995	atemporal	14
40657	1.0	temporal	14
11713	0.997	atemporal	14
71988	0.997	atemporal	14
26476	1.0	temporal	14
14289	1.0	temporal	14
87738	0.996	atemporal	14
70036	0.996	atemporal	14
42045	1.0	temporal	14
73106	0.996	atemporal	14
29045	1.0	temporal	14
88734	0.996	atemporal	14
140969	0.997	atemporal	14
49534	0.997	atemporal	14
111114	0.995	atemporal	14
123407	0.995	atemporal	14
21665	0.998	atemporal	14
11310	1.0	temporal	14
50159	0.996	atemporal	14
3343	1.0	temporal	14
90478	0.997	atemporal	14
89706	0.998	atemporal	14
129585	1.0	temporal	14
27567	0.997	atemporal	14
141627	0.997	atemporal	14
93130	0.995	atemporal	14
12873	1.0	temporal	14
