INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
85416	1.0	atemporal	1
28378	1.0	future	1
84940	1.0	neutral	1
54553	1.0	atemporal	1
127997	1.0	atemporal	1
143397	1.0	atemporal	1
136462	1.0	future	1
113451	1.0	past	1
3087	1.0	neutral	1
80887	1.0	atemporal	1
61274	1.0	neutral	1
22178	1.0	atemporal	1
2171	1.0	atemporal	1
121693	1.0	atemporal	1
9417	1.0	atemporal	1
133602	1.0	atemporal	1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
105567	1.0	atemporal	1
56668	1.0	atemporal	1
103840	1.0	atemporal	1
84041	1.0	atemporal	1
4583	1.0	past	1
3219	1.0	present	1
62678	1.0	atemporal	1
50177	1.0	atemporal	1
90485	1.0	neutral	1
99377	1.0	atemporal	1
39748	1.0	atemporal	1
59176	1.0	atemporal	1
42703	1.0	atemporal	1
21445	1.0	past	1
24047	1.0	atemporal	1
50276	1.0	past	1
53791	1.0	atemporal	1
103511	1.0	neutral	1
110084	1.0	atemporal	1
54860	1.0	atemporal	1
131351	1.0	atemporal	1
27226	1.0	atemporal	1
8546	1.0	atemporal	1
53002	1.0	present	1
105080	1.0	atemporal	1
31005	1.0	atemporal	1
65866	1.0	atemporal	1
14353	1.0	present	1
118642	1.0	atemporal	1
89872	1.0	atemporal	1
104218	1.0	neutral	1
77031	1.0	atemporal	1
88909	1.0	atemporal	1
142720	1.0	future	1
81693	1.0	future	1
27520	1.0	neutral	1
121515	1.0	future	1
49466	1.0	atemporal	1
97099	1.0	atemporal	1
56224	1.0	atemporal	1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
102402	0.667	neutral	2
49798	0.977	atemporal	2
125269	0.978	atemporal	2
46551	0.978	atemporal	2
115592	0.987	atemporal	2
28274	0.676	neutral	2
112759	0.978	atemporal	2
98503	0.976	atemporal	2
132098	0.419	past	2
35792	0.562	present	2
35129	0.425	past	2
18987	0.982	atemporal	2
131562	0.979	atemporal	2
7475	0.99	atemporal	2
117117	0.976	atemporal	2
101496	0.419	past	2
65462	0.978	atemporal	2
102054	0.979	atemporal	2
138380	0.977	atemporal	2
14212	0.982	atemporal	2
134875	0.979	atemporal	2
67789	0.98	atemporal	2
133730	0.978	atemporal	2
43618	0.979	atemporal	2
46155	0.979	atemporal	2
20381	0.977	atemporal	2
72762	0.981	atemporal	2
47819	0.668	neutral	2
12125	0.976	atemporal	2
51284	0.977	atemporal	2
68274	0.986	atemporal	2
62466	0.399	future	2
115275	0.398	future	2
56061	0.989	atemporal	2
32076	0.976	atemporal	2
34392	0.981	atemporal	2
41379	0.978	atemporal	2
14908	0.981	atemporal	2
16522	0.98	atemporal	2
120287	0.981	atemporal	2
56400	0.563	present	2
123520	0.567	present	2
102547	0.983	atemporal	2
69607	0.981	atemporal	2
14769	0.679	neutral	2
123016	0.397	future	2
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
133577	0.385	future	3
50825	0.408	present	3
114295	0.415	past	3
65497	0.974	atemporal	3
42257	0.975	atemporal	3
32311	0.973	atemporal	3
749	0.408	present	3
19630	0.979	atemporal	3
118895	0.406	present	3
119073	0.974	atemporal	3
29823	0.973	atemporal	3
90864	0.975	atemporal	3
10046	0.886	neutral	3
138658	0.975	atemporal	3
67140	0.975	atemporal	3
32171	0.86	neutral	3
112000	0.976	atemporal	3
117494	0.977	atemporal	3
27270	0.973	atemporal	3
76412	0.974	atemporal	3
79682	0.974	atemporal	3
71138	0.383	future	3
132972	0.976	atemporal	3
87358	0.417	past	3
29516	0.975	atemporal	3
5171	0.975	atemporal	3
137201	0.974	atemporal	3
12244	0.975	atemporal	3
134382	0.973	atemporal	3
72371	0.979	atemporal	3
122548	0.974	atemporal	3
55547	0.975	atemporal	3
79320	0.977	atemporal	3
129715	0.879	neutral	3
78604	0.386	future	3
77505	0.415	past	3
97030	0.974	atemporal	3
106228	0.981	atemporal	3
50736	0.408	present	3
63297	0.974	atemporal	3
139165	0.843	neutral	3
61898	0.978	atemporal	3
488	0.973	atemporal	3
64885	0.974	atemporal	3
66389	0.973	atemporal	3
54105	0.973	atemporal	3
62697	0.876	neutral	3
96540	0.975	atemporal	3
74512	0.978	atemporal	3
57259	0.975	atemporal	3
124293	0.974	atemporal	3
42012	0.973	atemporal	3
136047	0.976	atemporal	3
118845	0.975	atemporal	3
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
34076	0.928	neutral	4
12755	0.93	neutral	4
26974	0.97	atemporal	4
132920	0.973	atemporal	4
20662	0.971	atemporal	4
70143	0.97	atemporal	4
8576	0.97	atemporal	4
51418	0.432	past	4
118505	0.975	atemporal	4
61196	0.947	neutral	4
9284	0.97	atemporal	4
8332	0.43	future	4
60297	0.415	present	4
60061	0.976	atemporal	4
55978	0.971	atemporal	4
85566	0.973	atemporal	4
95417	0.975	atemporal	4
49484	0.975	atemporal	4
44557	0.974	atemporal	4
39357	0.972	atemporal	4
40386	0.432	past	4
4347	0.971	atemporal	4
45062	0.971	atemporal	4
94477	0.973	atemporal	4
7796	0.973	atemporal	4
79070	0.972	atemporal	4
120703	0.972	atemporal	4
20123	0.974	atemporal	4
49814	0.973	atemporal	4
118267	0.973	atemporal	4
132035	0.97	atemporal	4
132651	0.97	atemporal	4
44880	0.97	atemporal	4
96742	0.429	future	4
52891	0.971	atemporal	4
66711	0.429	future	4
88913	0.43	future	4
42554	0.972	atemporal	4
76031	0.972	atemporal	4
38349	0.97	atemporal	4
115810	0.971	atemporal	4
142553	0.432	past	4
125554	0.974	atemporal	4
16476	0.976	atemporal	4
62608	0.415	present	4
92620	0.973	atemporal	4
32519	0.974	atemporal	4
298	0.974	atemporal	4
55816	0.973	atemporal	4
99423	0.954	neutral	4
110582	0.973	atemporal	4
80721	0.935	neutral	4
26710	0.972	atemporal	4
38050	0.976	atemporal	4
7973	0.975	atemporal	4
86134	0.419	present	4
98995	0.971	atemporal	4
126026	0.97	atemporal	4
33055	0.973	atemporal	4
142630	0.927	neutral	4
63984	0.97	atemporal	4
34833	0.432	past	4
142750	0.971	atemporal	4
15639	0.416	present	4
14672	0.97	atemporal	4
