Word_Offset	Word	POS	Sense_no	Gloss	Class	Prediction_Value	EndMarker(##)
35935	ऑर्थोपीडीक	ADJECTIVE	1	जो विकलांग विज्ञान से संबंधित हो या विकलांग विज्ञान का 	present	0.358	##
609	तंतुर	NOUN	1	कमल का मूल जो पतले लम्बे डंठल के रूप में होता है 	neutral	0.997	##
609	तंतुल	NOUN	1	कमल का मूल जो पतले लम्बे डंठल के रूप में होता है 	neutral	0.997	##
35935	ऑर्थोपीडिक	ADJECTIVE	1	जो विकलांग विज्ञान से संबंधित हो या विकलांग विज्ञान का 	present	0.358	##
15599	असिक	NOUN	1	होंठ और ठुड्डी के बीच का भाग 	neutral	0.997	##
2524	यति	NOUN	7	छन्द शास्त्र के अनुसार कविता या पद्य के चरणों में वह स्थान जहाँ पढ़ते समय उनकी लय ठीक रखने के लिए थोड़ा-सा विश्राम होता है 	neutral	0.997	##
14219	भूटानी	ADJECTIVE	1	भूटान का या वहाँ के निवासी, भाषा, संस्कृति इत्यादि से संबंधित 	present	0.379	##
5993	चांद्र_दिवस	NOUN	1	चांद्र मास के किसी पक्ष का कोई दिन जिसका नाम संख्या के विचार से होता है 	neutral	0.818	##
4132	विघ्नेश्वर	NOUN	1	हिंदुओं के एक प्रधान एवं अग्रपूज्य देवता जिनका शरीर मनुष्य का और सिर हाथी का होता है 	neutral	0.363	##
6243	शाकविन्दक	NOUN	1	एक कँटीला वृक्ष जिसके फल का छिलका बहुत ही कड़ा और चिकना होता है 	neutral	0.729	##
8406	प्रायद्वीपीय	ADJECTIVE	1	प्रायद्वीप का या प्रायद्वीप से संबंधित 	present	0.384	##
29189	कौत्स	ADJECTIVE	1	कुत्स ऋषि का या कुत्स ऋषि से संबंधित 	present	0.384	##
37053	इहलोकवादी	ADJECTIVE	1	इहवाद का या इहवाद से संबंधित 	present	0.384	##
10815	ब्रितानी	ADJECTIVE	1	ब्रिटेन का या वहाँ के निवासी, भाषा, संस्कृति इत्यादि से संबंधित 	present	0.379	##
35366	टाइम_टेबुल	NOUN	1	कार्यक्रमों तथा उनके होने के समय की सूची 	neutral	0.451	##
38505	इकीसवीं	NOUN	1	बीसवीं के बाद आने वाली संख्या या गणना का क्रम, स्थिति, समय, आदि जो कि इक्कीस की क्रमसूचक संख्या होती है 	past	0.323	##
28651	उत्तरी-पच्छिमी	ADJECTIVE	1	उत्तर-पश्चिम का या उत्तर-पश्चिम से संबंधित 	present	0.384	##
37521	समापिका_क्रिया	NOUN	1	पूर्वकालिक क्रिया के बाद होने वाली क्रिया 	present	0.359	##
38389	विशिष्टांक	NOUN	1	सामायिक पत्र का वह अंक जो विशिष्ट अवसर पर या किसी विशेष उद्देश्य से और साधारण अंकों के अतिरिक्त विशिष्ट रूप में या अलग से प्रकाशित होता है 	neutral	0.997	##
8379	उच्चारण_स्थान	NOUN	1	मुँह के अंदर का वह स्थान जहाँ कोई भी ध्वनि उच्चारण करते समय जिह्वा का स्पर्श होता है 	neutral	0.653	##
36624	लीग_ऑफ_नेशन्स	NOUN	1	प्रथम विश्वयुद्ध के बाद राष्ट्रों के बीच सहयोग और शांति को बढ़ावा देने के लिए १९२० में गठित एक अंतर्राष्ट्रीय संगठन 	past	0.363	##
539	रक्तहीन	ADJECTIVE	1	जिसमें रुधिर न हो या रुधिर की कमी हो 	present	0.403	##
19766	बेलिज़ी	ADJECTIVE	1	बेलिज़ का या बेलिज़ से संबंधित 	present	0.384	##
3692	कुँवार	NOUN	1	भारतीय महीनों में भाद्रपद के बाद और कार्तिक के पहले का महीना जो अंग्रेजी महीने के सितम्बर और अक्टूबर के बीच में आता है 	past	0.423	##
6195	दुपहरिया	NOUN	1	वह समय जब सूर्य मध्य आकाश में पहुँचता है 	neutral	0.997	##
38515	इकत्तीसवाँ	NOUN	1	तीसवीं के बाद आने वाली संख्या या गणना का क्रम, स्थिति, समय, आदि जो कि इकतीस की क्रमसूचक संख्या होती है 	past	0.323	##
28154	ई_प	ADVERB	1	ईसा के जन्म के बाद के समय में या ईसवी युग में 	past	0.429	##
38515	इकत्तीसवीं	NOUN	1	तीसवीं के बाद आने वाली संख्या या गणना का क्रम, स्थिति, समय, आदि जो कि इकतीस की क्रमसूचक संख्या होती है 	past	0.323	##
4545	बड़ी_अँतड़ी	NOUN	1	आँत का दूरस्थ भाग जो लगभग पाँच फिट लंबा होता है और छोटी आँत के साथ गुदा तक विस्तृत होता है 	neutral	0.997	##
36406	सफ़ेद_बनाना	VERB	1	काले धन को वाजिब बनाना या ऐसा करना कि उसकी गिनती काले धन में न हो 	present	0.407	##
7905	एलावेन्स	NOUN	1	वह दैनिक या मासिक व्यय जो किसी कर्मचारी को यात्रा आदि के समय या कोई अतिरिक्त कार्य करने के लिए मिलता है 	neutral	0.997	##
9327	पंचेंद्रिय	NOUN	1	पाँच ज्ञानेंद्रियाँ जिनसे प्राणियों को बाह्यजगत का ज्ञान होता है 	future	0.409	##
9093	कूपक	NOUN	2	बड़ी नावों के बीच का वह लट्ठा जिसमें पाल बाँधते हैं 	neutral	0.997	##
6438	प्लीहा	NOUN	2	पेट के भीतरी भाग का वह छोटा अंग जो पसलियों के नीचे बाँईं ओर होता है 	neutral	0.997	##
27474	पहले_का	ADJECTIVE	1	समय या क्रम की दृष्टि से पहले का या जो वर्तमान में न हो 	future	0.339	##
1590	अगला	ADJECTIVE	6	किसी के उपरान्त होनेवाला या आगे चलकर या बाद में पड़नेवाला 	future	0.334	##
1960	छाती	NOUN	1	शरीर का वह भाग जो पेट और गरदन के बीच स्थित होता है 	neutral	0.997	##
10643	खेल_निर्णायक	NOUN	1	वह व्यक्ति जो प्रतियोगिताओं में निष्पक्ष निर्णय देने के लिए नियुक्त होता है 	neutral	0.997	##
1348	वाँछित	ADJECTIVE	1	जिसकी इच्छा की गई हो 	present	0.376	##
14280	अन्येद्युः_ज्वर	NOUN	1	एक दिन का अन्तर देकर आने वाला ज्वर 	neutral	0.554	##
27236	जीववादी	ADJECTIVE	1	जीववाद का या जीववाद से संबंधित 	present	0.384	##
7262	रसबंधकर	NOUN	1	मांसल चिकनी पत्तियोंवाला एक क्षुप जो औषध के रूप में प्रयुक्त होता है 	neutral	0.997	##
9480	पूर्वानुमान	NOUN	1	पहले से ही लगाया जानेवाला अनुमान 	future	0.379	##
2359	आगम	ADJECTIVE	1	आगे आने वाला या उससे संबंधित 	future	0.379	##
2040	बेकतार	ADJECTIVE	1	जो क्रम में न हो 	present	0.407	##
11304	पूर्वाषाढ़ा_नक्षत्र	NOUN	1	वह समय जब चंद्रमा पूर्वाषाढ़ा नक्षत्र में होता है 	neutral	0.997	##
10413	अंतरिम	ADJECTIVE	1	दो अलग कालों या समय के बीच का 	neutral	0.997	##
2472	माधव	NOUN	2	चैत्र के बाद और ज्येष्ठ के पहले का हिंदी महीना जो अंग्रेजी महीने के अप्रैल और मई के बीच में आता है 	past	0.418	##
